,PIB corriente,PIB constante,Gasto Programable,Gasto Total,No programable,Participaciones,Costo financiero
1990,786388.625,9089185.5959,117122.1,204215.324,91539.047,20717.395,67117.972
1991,1011547.25,9472953.7997,148879.1,227933.15,84266.36,26740.71,48226.579
1992,1202842.475,9816694.9712,178266.2,249287.323,78582.977,32972.384,40847.043
1993,1560093.286,10165571.177,206987.2,282066.411,80388.056,37691.499,33333.334
1994,1781422.46,10667860.25,249480.5,326250.68,83280.172,41607.782,32919.901
1995,2311458.453,9996720.538,290423.6,421549.884,139442.369,49158.94,84768.998
1996,3123167.939,10673824.281,403449.54,582241.608,187850.005,70900.57,110462.528
1997,3962524.166,11404645.262,528123.85,754199.193,240398.272,94573.346,130187.153
1998,4810123.454,11993572.609,600583,829511.264,235333.878,113664.927,111264.297
1999,5738466.369,12323822.137,711228.2,1007667.258,304661.368,140670.929,164346.083
2000,6693683.014,12932921.342,855286,1239266.31,387237.014,178136.175,201017.062
2001,7069377.272,12880621.885,937213.91,1311669.785,386412.573,196931.18,188062.101
2002,7455459.195,12875489.668,1078860.3,1459951.0612,399179.29,214909.774,178374.89
2003,7868809.553,13061718.521,1241853.3,1648243.078,432219.855,225227.838,190863.079
2004,8828367.434,13573815.057,1326952.4,1792296.736,475285.643,239890.234,206830.3
2005,9562648.113,13887072.52,1477368.08,1958012.068,499472.015,278892.36,210186.307
2006,10630939.427,14511307.247,1671174.626506,2255221.2502,598283.2631,329337.341,250064.99
2007,11504075.512,14843825.975,1911320.8,2482503.515,587550.591,332757.739,238955.993
2008,12353845.281,15013577.681,2210197.0101,2872608.428,662411.42132,423454.86832,227112.627973
2009,12162762.846,14219998.379,2436548.8156,3088876.8157,652327.99379,375717.32433,262812.4546218
2010,13366377.171,14947794.696,2618907.3603,3333948.3735,715040.99075,437327.62053,255755.094969
2011,14665576.472,15495333.601,2860941.3393,3631315.9356,770374.60271,477256.19056,273931.314729
2012,15817754.584,16059723.651,3102197.7473,3920304.9528,818107.20538,494264.53239,305118.544998
2013,16277187.078,16277187.078,3316608.6797,4178321.9107,861713.23133,532455.48058,314551.400409
2014,17473841.538,16733654.767,3577753.3697,4528045.2398,950291.87028,584904.3487,345973.728113
2015,18551459.266,17283855.93,3826603.5154,4892875.8929,1066272.37773,629130.29003,408287.181948
2016,20118100.92,17786910.587,4159335.5112,5347754.5576,1188419.04613,693777.57858,473019.682182
2017,21911893.797,18163652.487,3857121.8933,5182638.4002,1325516.50697,772417.56326,533115.23286
2018,23491507.017,18551620.026,4064660.8385,5589351.3205,1524690.48198,844045.17658,615040.60099
