year,code,pibf,pib,pibpc,pop,gdpclc,gdp10lc,defla10lc,fac17,def17_est,gdp17lc,pibpclc
1990,MEX,290.402,1256745361953.59,14971.3899399607,83943132,734801827000,9241452511986.94,12.5767957732459,10.9500532152148,15.2438585433568,8046119108287.06,95852.0240618024
1991,MEX,348.139,1309714097906.39,15316.0323231622,85512623,945190132300,9630957078900,10.1894388756094,9.92890318364055,12.3478489002863,9384701313739.1,109746.385790775
1992,MEX,403.733,1356092415469.38,15573.8187342222,87075138,1123936450800,9971999132700,8.87238698024438,8.90775315206626,10.7504432888794,10011748462335.9,114978.266957623
1993,MEX,500.795,1382416282692.89,15598.4137589939,88625440,1560093286000,10165571177000,6.51600213155459,7.88660312049197,7.89303695176173,12303836577626.2,138829.624740099
1994,MEX,527.811,1450722586494.58,16091.1769602001,90156400,1781422460000,10667860250000,5.9883943811958,7.2480163235012,7.2533673447143,12911779069131.7,143215.335451855
1995,MEX,360.096,1359454280004.36,14830.9574548235,91663285,2311458453000,9996720538000,4.32485408726488,5.23456055594605,5.23686142421899,12099469244781.9,131999.079509117
1996,MEX,410.973,1451533635221.84,15583.2495899906,93147044,3123167939000,10673824281000,3.41762738651116,4.13650429618693,4.13742884546735,12918997597386.8,138694.659997872
1997,MEX,500.416,1550917999000.02,16392.5755590245,94611002,3962524166000,11404645262000,2.8781263619428,3.48352254787454,3.48375204553822,13803542278758.8,145897.855291277
1998,MEX,526.522,1631006243884.67,16979.6867806823,96056321,4810123454000,11993572609000,2.49340224293545,3.01787407566202,3.01767565052394,14516346872560.5,151123.286020505
1999,MEX,600.225,1675916885589.86,17191.5656128931,97484832,5738466369000,12323822137000,2.14758113832905,2.5993116277596,2.59878475647804,14916062358449.1,153009.058459978
2000,MEX,707.909,1758748301956.55,17783.1249579466,98899845,6693683014000,12932921342000,1.93210842445788,2.33851555322057,2.33781478637151,15653281836567.3,158274.078554596
2001,MEX,756.693,1751636097470.06,17464.2906681448,100298153,7069377272000,12880621885000,1.82203062439698,2.2052835646592,2.20450409144153,15589981510316.9,155436.376882403
2002,MEX,772.11,1750938167149.81,17219.2784994365,101684758,7455459195000,12875489668000,1.72698814804525,2.09024948771423,2.08940798858944,15583769763023.1,153255.709798937
2003,MEX,729.335,1776263433601.82,17231.7215487567,103081020,7868809553000,13061718521000,1.65993577974196,2.00909306596655,2.00821128578375,15809170710343.6,153366.455923153
2004,MEX,782.243,1845903454546.11,17661.6242217534,104514932,8828367434000,13573815057000,1.53752266865607,1.86093110954178,1.85998364296228,16428983604396.1,157192.692852693
2005,MEX,877.477,1888503344900.14,17815.194834353,106005203,9562648113000,13887072520000,1.45222038455239,1.75768601440295,1.75669912892777,16808132848876.9,158559.508148641
2006,MEX,975.383,1973393041288.24,18346.8783396788,107560153,10630939426000,14511307247000,1.36500704834324,1.65212788909713,1.65110646118036,17563671512996.8,163291.618904603
2007,MEX,1052.697,2018612271559.1,18490.455155726,109170502,11504075512000,14843825975000,1.29031020002575,1.56171901796142,1.56067291305814,17966133511154.7,164569.487013577
2008,MEX,1109.987,2041696810371.85,18424.3271883697,110815271,12353845281000,15013577681000,1.21529591309441,1.47092593695104,1.46985988635663,18171591444903.1,163980.932239051
2009,MEX,900.047,1933777940926.03,17194.6568139338,112463887,12162762846000,14219998379000,1.16914212330273,1.41506398122346,1.41398819480805,17211087615537.5,153036.570890863
2010,MEX,1057.801,2032750980569.99,17816.620123802,114092963,13366377171000,14947794696000,1.1183131004586,1.35354338591352,1.35245922235454,18091971413432.5,158572.193566684
2011,MEX,1180.487,2107210810175.28,18213.4249122719,115695473,14665576472000,15495333601000,1.05657855527085,1.27882335868055,1.27773248339118,18754681760909.5,162103.851383273
2012,MEX,1201.094,2183962227417.35,18622.7070015328,117274155,15817754584000,16059723651000,1.01529730820611,1.22885885508685,1.22776571286178,19437787788139,165746.560170389
2013,MEX,1274.444,2213535084381.37,18628.1912801179,118827161,16277187078000,16277187078000,1,1.21034385214522,1.20925033919743,19700993310074.9,165795.371565554
2014,MEX,1314.569,2275610137008.47,18907.4630622176,120355128,17473841537000,16733654767000,0.957640295155894,1.15889228910894,1.15798087271396,20250300218340.8,168254.569247276
2015,MEX,1170.567,2350432007146.83,19288.2455873186,121858258,18551459266000,17283855930000,0.931670963570872,1.12694249766805,1.12655028449114,20906427840613.1,171563.488463893
2016,MEX,1077.906,2418842422708.94,19612.2290750311,123333376,20118100920000,17786910586800,0.884124732127052,1.06712706429905,1.0690073517313,21468569974031.6,174069.42605732
2017,MEX,1156.953,2470075497063.95,19795.8684950156,124777324,21911894000000,18163652000000,0.828940300642199,1,1.00222384196373,21911894000000,175607.981463042
2018,MEX,1222.053,2522835275243.19,19992.230139994,126190788,23491507000000,18551620000000,0.789716045037043,0.952928281721565,0.954757602858133,22385721400560.1,177395.844461801
2019,MEX,NA,2519161968432.66,19746.4356070408,127575529,24239132004000,18524608410000,0.764243884927192,0.92207927729468,0.923934265563332,22350401320498.7,175193.483387387
,,,,,,,,,,,,
,,,,,0.10%,"24,239",,,,,,
,,,,,0.50%,"121,196",,,,,,
,,,,,1.00%,"242,391",,,,,,
